Company,Fiscal Year,Period,Report Type,End Date,Release Date,Operating Income,Net Income,EPS Diluted,Total Assets,Shareholders Equity
Alphabet,2020,Annual,10-K,2020-12-31,,41224.0,40269.0,58.61,319616.0,222544.0
Alphabet,2020,Q1,10-Q,2020-03-31,,7977.0,6836.0,9.87,273403.0,203659.0
Alphabet,2020,Q2,10-Q,2020-06-30,,14360.0,13795.0,20.0,278492.0,207322.0
Alphabet,2020,Q3,10-Q,2020-09-30,,25573.0,25042.0,36.38,299243.0,212920.0
Alphabet,2021,Annual,10-K,2021-12-31,,78714.0,76033.0,112.2,359268.0,251635.0
Alphabet,2021,Q1,10-Q,2021-03-31,,16437.0,17930.0,26.29,327095.0,230013.0
Alphabet,2021,Q2,10-Q,2021-06-30,,35798.0,36455.0,53.54,335387.0,237565.0
Alphabet,2021,Q3,10-Q,2021-09-30,,56829.0,55391.0,81.53,347403.0,244567.0
Alphabet,2022,Annual,10-K,2022-12-31,,74842.0,59972.0,4.56,365264.0,256144.0
Alphabet,2022,Q1,10-Q,2022-03-31,,20094.0,16436.0,24.62,357096.0,254004.0
Alphabet,2022,Q2,10-Q,2022-06-30,,39547.0,32438.0,2.44,355185.0,255419.0
Alphabet,2022,Q3,10-Q,2022-09-30,,56682.0,46348.0,3.5,358255.0,253626.0
Alphabet,2023,Annual,10-K,2023-12-31,,84293.0,73795.0,5.8,402392.0,283379.0
Alphabet,2023,Q1,10-Q,2023-03-31,,17415.0,15051.0,1.17,369491.0,260894.0
Alphabet,2023,Q2,10-Q,2023-06-30,,39253.0,33419.0,2.61,383044.0,267141.0
Alphabet,2023,Q3,10-Q,2023-09-30,,60596.0,53108.0,4.16,396711.0,273202.0
Alphabet,2024,Annual,10-K,2024-12-31,,112390.0,100118.0,8.04,450256.0,325084.0
Alphabet,2024,Q1,10-Q,2024-03-31,,25472.0,23662.0,1.89,407350.0,292844.0
Alphabet,2024,Q2,10-Q,2024-06-30,,52897.0,47281.0,3.78,414770.0,300753.0
Alphabet,2024,Q3,10-Q,2024-09-30,,81418.0,73582.0,5.9,430266.0,314119.0
Alphabet,2025,Q1,10-Q,2025-03-31,,30606.0,34540.0,2.81,475374.0,345267.0
Amazon,2020,Annual,10-K,2020-12-31,,22899.0,21331.0,41.83,321195.0,93404.0
Amazon,2020,Q1,10-Q,2020-03-31,,3989.0,10563.0,5.01,221238.0,65272.0
Amazon,2020,Q2,10-Q,2020-06-30,,9832.0,13180.0,15.32,258314.0,73728.0
Amazon,2020,Q3,10-Q,2020-09-30,,16026.0,17377.0,27.72,282179.0,82775.0
Amazon,2021,Annual,10-K,2021-12-31,,24879.0,33364.0,64.81,420549.0,138245.0
Amazon,2021,Q1,10-Q,2021-03-31,,8865.0,26903.0,15.79,323077.0,103320.0
Amazon,2021,Q2,10-Q,2021-06-30,,16567.0,29438.0,30.92,360319.0,114803.0
