Company,Fiscal Year,Period,Report Type,End Date,Operating Income,Net Income,Total Revenue,Total Revenue,Gross Profit,EPS Basic,EPS Diluted,Total Assets,Total Liabilities,Shareholders Equity
Apple,2022,Q3,10-Q,2022-06-25,94543.0,79082.0,,,132687.0,4.86,4.82,336309.0,278202.0,58107.0
Apple,2023,Annual,10-K,2023-09-30,114301.0,96995.0,,,169148.0,6.16,6.13,352583.0,290437.0,62146.0
Apple,2023,Q1,10-Q,2022-12-31,36016.0,29998.0,,,50332.0,1.89,1.88,346747.0,290020.0,56727.0
Apple,2023,Q2,10-Q,2023-04-01,64334.0,54158.0,,,92308.0,3.42,3.41,332160.0,270002.0,62158.0
Apple,2023,Q3,10-Q,2023-07-01,87332.0,74039.0,,,128721.0,4.69,4.67,335038.0,274764.0,60274.0
Apple,2024,Annual,10-K,2024-09-28,123216.0,93736.0,,,180683.0,6.11,6.08,364980.0,308030.0,56950.0
Apple,2024,Q1,10-Q,2023-12-30,40373.0,33916.0,,,54855.0,2.19,2.18,353514.0,279414.0,74100.0
Apple,2024,Q2,10-Q,2024-03-30,68273.0,57552.0,,,97126.0,3.72,3.71,337411.0,263217.0,74194.0
Apple,2024,Q3,10-Q,2024-06-29,93625.0,79000.0,,,136804.0,5.13,5.11,331612.0,264904.0,66708.0
Meta,2020,Annual,10-K,2020-12-31,32671.0,29146.0,,,,10.22,10.09,159316.0,31026.0,128290.0
Meta,2020,Q1,10-Q,2020-03-31,5893.0,4902.0,,,,1.72,1.71,138371.0,33067.0,105304.0
Meta,2020,Q2,10-Q,2020-06-30,11856.0,10081.0,,,,3.54,3.51,139691.0,29244.0,110447.0
Meta,2020,Q3,10-Q,2020-09-30,19896.0,17927.0,,,,6.29,6.22,146437.0,28706.0,117731.0
Meta,2021,Annual,10-K,2021-12-31,46753.0,39370.0,,,,13.99,13.77,165987.0,41108.0,124879.0
Meta,2021,Q1,10-Q,2021-03-31,11378.0,9497.0,,,,3.34,3.3,163523.0,29866.0,133657.0
Meta,2021,Q2,10-Q,2021-06-30,23745.0,19892.0,,,,7.0,6.9,170609.0,32382.0,138227.0
Meta,2021,Q3,10-Q,2021-09-30,34168.0,29085.0,,,,10.27,10.11,169585.0,36225.0,133360.0
Meta,2022,Annual,10-K,2022-12-31,28944.0,23200.0,,,,8.63,8.59,185727.0,60014.0,125713.0
Meta,2022,Q1,10-Q,2022-03-31,8524.0,7465.0,,,,2.74,2.72,164218.0,40990.0,123228.0
Meta,2022,Q2,10-Q,2022-06-30,16881.0,14152.0,,,,5.21,5.19,169779.0,44012.0,125767.0
Meta,2022,Q3,10-Q,2022-09-30,22545.0,18547.0,,,,6.86,6.82,178894.0,54800.0,124094.0
Meta,2023,Annual,10-K,2023-12-31,46751.0,39098.0,,,,15.19,14.87,229623.0,76455.0,153168.0
Meta,2023,Q1,10-Q,2023-03-31,7227.0,5709.0,,,,2.21,2.2,184491.0,59696.0,124795.0
Meta,2023,Q2,10-Q,2023-06-30,16619.0,13498.0,,,,5.24,5.18,206688.0,72655.0,134033.0
Meta,2023,Q3,10-Q,2023-09-30,30367.0,25081.0,,,,9.73,9.56,216274.0,73401.0,142873.0
Meta,2024,Annual,10-K,2024-12-31,69380.0,62360.0,,,,24.61,23.86,276054.0,93417.0,182637.0
Meta,2024,Q1,10-Q,2024-03-31,13818.0,12369.0,,,,4.86,4.71,222844.0,73315.0,149529.0
Meta,2024,Q2,10-Q,2024-06-30,28665.0,25834.0,,,,10.17,9.86,230238.0,73475.0,156763.0
Meta,2024,Q3,10-Q,2024-09-30,46016.0,41522.0,,,,16.37,15.88,256408.0,91879.0,164529.0
Microsoft,2020,Annual,10-K,2020-06-30,52959.0,44281.0,,,96937.0,5.82,5.76,301311.0,183007.0,118304.0
Microsoft,2020,Q1,10-Q,2019-09-30,12686.0,10678.0,,,22649.0,1.4,1.38,278955.0,172894.0,106061.0
Microsoft,2020,Q2,10-Q,2019-12-31,26577.0,22327.0,,,47197.0,2.93,2.9,282794.0,172685.0,110109.0
Microsoft,2020,Q3,10-Q,2020-03-31,39552.0,33079.0,,,71243.0,4.34,4.3,285449.0,170948.0,114501.0
Microsoft,2021,Annual,10-K,2021-06-30,69916.0,61271.0,,,115856.0,8.12,8.05,333779.0,191791.0,141988.0
Microsoft,2021,Q1,10-Q,2020-09-30,15876.0,13893.0,,,26152.0,1.84,1.82,301001.0,177609.0,123392.0
Microsoft,2021,Q2,10-Q,2020-12-31,33773.0,29356.0,,,55034.0,3.88,3.85,304137.0,173901.0,130236.0
Microsoft,2021,Q3,10-Q,2021-03-31,50821.0,44813.0,,,83695.0,5.93,5.88,308879.0,174374.0,134505.0
Microsoft,2022,Annual,10-K,2022-06-30,83383.0,72738.0,,,135620.0,9.7,9.65,364840.0,198298.0,166542.0
Microsoft,2022,Q1,10-Q,2021-09-30,20238.0,20505.0,,,31671.0,2.73,2.71,335418.0,183440.0,151978.0
Microsoft,2022,Q2,10-Q,2021-12-31,42485.0,39270.0,,,66439.0,5.23,5.19,340389.0,180379.0,160010.0
Microsoft,2022,Q3,10-Q,2022-03-31,62849.0,55998.0,,,100184.0,7.46,7.41,344607.0,181683.0,162924.0
Microsoft,2023,Annual,10-K,2023-06-30,88523.0,72361.0,,,146052.0,9.72,9.68,411976.0,205753.0,206223.0
