Date,AAPL,AMZN,GOOGL,META,MSFT,NVDA,TSLA
2020-03-20,55.63173294067383,92.30449676513672,53.1563606262207,149.0276336669922,131.46849060058594,5.124868392944336,28.50200080871582
2020-03-23,54.44989013671875,95.1415023803711,52.455711364746094,147.4052734375,130.1571502685547,5.297730922698975,28.952667236328125
2020-03-24,59.912601470947266,97.00499725341797,56.23166275024414,160.224853515625,141.98789978027344,6.2066330909729,33.66666793823242
2020-03-25,59.582557678222656,94.29199981689453,54.81891632080078,155.47723388671875,140.62867736816406,6.117959499359131,35.95000076293945
2020-03-26,62.71796798706055,97.77449798583984,57.86933135986328,162.5737762451172,149.42515563964844,6.407393932342529,35.21066665649414
2020-03-27,60.121299743652344,95.00499725341797,55.24885940551758,156.0544891357422,143.28964233398438,6.295057773590088,34.29066848754883
2020-03-30,61.8370361328125,98.19750213623047,57.04277801513672,165.17152404785156,153.36871337890625,6.615377426147461,33.47533416748047
2020-03-31,61.71084976196289,97.48600006103516,57.82106018066406,166.01756286621094,150.95668029785156,6.565810203552246,34.93333435058594
2020-04-01,58.463802337646484,95.38500213623047,54.842796325683594,158.85134887695312,145.59646606445312,6.054444313049316,32.104000091552734
2020-04-02,59.43937683105469,95.94149780273438,55.58574676513672,157.44793701171875,148.611572265625,6.36330509185791,30.29800033569336
2020-04-03,58.585147857666016,95.32949829101562,54.37503433227539,153.4567413330078,147.2427978515625,6.075366973876953,32.000667572021484
2020-04-06,63.69596862792969,99.87950134277344,58.87800979614258,164.7734375,158.1929168701172,6.68536901473999,34.41600036621094
2020-04-07,62.958221435546875,100.58000183105469,58.84665298461914,168.03802490234375,156.48915100097656,6.451979160308838,36.36333465576172
2020-04-08,64.56961059570312,102.1500015258789,60.06283950805664,173.4624481201172,158.05889892578125,6.649251937866211,36.589332580566406
2020-04-09,65.03555297851562,102.13800048828125,60.04144287109375,174.36819458007812,158.06849670410156,6.549619197845459,38.20000076293945
2020-04-13,66.31204223632812,108.44349670410156,60.23252868652344,173.97007751464844,158.42266845703125,6.721486568450928,43.39666748046875
2020-04-14,69.66101837158203,114.16600036621094,62.96049499511719,177.334228515625,166.2619171142578,7.072691917419434,47.32600021362305
2020-04-15,69.02518463134766,115.38400268554688,62.56587600708008,176.1398468017578,164.5198516845703,6.995227336883545,48.65533447265625
2020-04-16,69.57364654541016,120.40950012207031,62.57234191894531,175.42320251464844,169.4589080810547,7.340455532073975,49.680667877197266
2020-04-17,68.6296157836914,118.75,63.64571762084961,178.39918518066406,170.95211791992188,7.281174659729004,50.259334564208984
2020-04-20,67.20511627197266,119.68049621582031,62.7574577331543,177.4038848876953,167.56370544433594,7.14990758895874,49.75733184814453
2020-04-21,65.12774658203125,116.40599822998047,60.31961441040039,169.99880981445312,160.63372802734375,6.713016510009766,45.781333923339844
2020-04-22,67.00367736816406,118.17449951171875,62.62111282348633,181.42494201660156,166.0896759033203,7.1274895668029785,48.807334899902344
2020-04-23,66.74401092529297,119.97250366210938,63.256072998046875,184.26156616210938,164.07957458496094,7.074186325073242,47.04199981689453
2020-04-24,68.67086791992188,120.51100158691406,63.526283264160156,189.1783905029297,167.0755615234375,7.213174819946289,48.34333419799805
2020-04-27,68.71943664550781,118.80000305175781,63.24064636230469,186.62045288085938,166.5969696044922,7.399736404418945,53.25
2020-04-28,67.60551452636719,115.7040023803711,61.33625411987305,182.05198669433594,162.53857421875,7.257261753082275,51.27466583251953
2020-04-29,69.82601928710938,118.635498046875,66.78968811035156,193.27906799316406,169.8321990966797,7.434110641479492,53.367332458496094
2020-04-30,71.29907989501953,123.69999694824219,67.01461029052734,203.74972534179688,171.5360107421875,7.280177116394043,52.12533187866211
2020-05-01,70.15122985839844,114.302001953125,65.5525894165039,201.3211669921875,167.0946807861328,7.043548107147217,46.75466537475586
2020-05-04,71.14378356933594,115.79949951171875,65.83026123046875,204.29713439941406,171.1818389892578,7.255519390106201,50.74599838256836
2020-05-05,72.2115707397461,115.88999938964844,67.13005065917969,206.09866333007812,173.0196075439453,7.316545009613037,51.2140007019043
2020-05-06,72.95659637451172,117.56300354003906,66.95140838623047,207.49208068847656,174.72340393066406,7.417421340942383,52.172000885009766
2020-05-07,73.7113265991211,118.38050079345703,68.13822937011719,210.2689971923828,175.738037109375,7.5937724113464355,52.00266647338867
2020-05-08,75.46578216552734,118.98049926757812,68.88764953613281,211.35389709472656,176.77175903320312,7.783822059631348,54.62799835205078
2020-05-11,76.65325927734375,120.44999694824219,69.84556579589844,212.1799774169922,178.74354553222656,8.035893440246582,54.08599853515625
2020-05-12,75.7772445678711,117.84750366210938,68.43183898925781,209.11444091796875,174.69467163085938,7.773858547210693,53.96066665649414
2020-05-13,74.86229705810547,118.39600372314453,67.09571075439453,204.13790893554688,172.05287170410156,7.751441478729248,52.73066711425781
2020-05-14,75.32222747802734,119.44249725341797,67.52018737792969,205.83987426757812,172.7994842529297,8.001022338867188,53.55533218383789
2020-05-15,74.8769302368164,120.48899841308594,68.32633972167969,209.8907928466797,175.31683349609375,8.459582328796387,53.27799987792969
2020-05-18,76.64109802246094,121.31300354003906,68.92945861816406,212.18995666503906,176.99191284179688,8.71812915802002,54.242000579833984
2020-05-19,76.1982192993164,122.46649932861328,68.39302062988281,215.8626251220703,175.7667236328125,8.773177146911621,53.867332458496094
2020-05-20,77.68014526367188,124.89700317382812,70.12274169921875,228.89125061035156,178.20474243164062,8.937071800231934,54.37066650390625
2020-05-21,77.10099792480469,122.33699798583984,70.00282287597656,230.3045654296875,176.0642547607422,8.743040084838867,55.17333221435547
2020-05-22,77.59742736816406,121.84400177001953,70.32577514648438,233.8080596923828,176.14105224609375,8.993117332458496,54.45866775512695
2020-05-26,77.0718002319336,121.09300231933594,70.73033905029297,231.1107635498047,174.2790069580078,8.685748100280762,54.591331481933594
2020-05-27,77.40757751464844,120.51950073242188,70.67610168457031,228.0651397705078,174.50936889648438,8.493955612182617,54.68199920654297
2020-05-28,77.44168090820312,120.05500030517578,70.5745849609375,224.40240478515625,174.1157989501953,8.455845832824707,53.72066879272461
2020-05-29,77.36622619628906,122.11849975585938,71.33494567871094,224.0341339111328,175.89151000976562,8.84291934967041,55.66666793823242
2020-06-01,78.31769561767578,123.552001953125,71.40213012695312,230.82212829589844,175.48834228515625,8.773921966552734,59.87333297729492
