Date,GOOGL
2020-03-20,53.1563606262207
2020-03-23,52.455711364746094
2020-03-24,56.23166275024414
2020-03-25,54.81891632080078
2020-03-26,57.86933135986328
2020-03-27,55.24885940551758
2020-03-30,57.04277801513672
2020-03-31,57.82106018066406
2020-04-01,54.842796325683594
2020-04-02,55.58574676513672
2020-04-03,54.37503433227539
2020-04-06,58.87800979614258
2020-04-07,58.84665298461914
2020-04-08,60.06283950805664
2020-04-09,60.04144287109375
2020-04-13,60.23252868652344
2020-04-14,62.96049499511719
2020-04-15,62.56587600708008
2020-04-16,62.57234191894531
2020-04-17,63.64571762084961
2020-04-20,62.7574577331543
2020-04-21,60.31961441040039
2020-04-22,62.62111282348633
2020-04-23,63.256072998046875
2020-04-24,63.526283264160156
2020-04-27,63.24064636230469
2020-04-28,61.33625411987305
2020-04-29,66.78968811035156
2020-04-30,67.01461029052734
2020-05-01,65.5525894165039
2020-05-04,65.83026123046875
2020-05-05,67.13005065917969
2020-05-06,66.95140838623047
2020-05-07,68.13822937011719
2020-05-08,68.88764953613281
2020-05-11,69.84556579589844
2020-05-12,68.43183898925781
2020-05-13,67.09571075439453
2020-05-14,67.52018737792969
2020-05-15,68.32633972167969
2020-05-18,68.92945861816406
2020-05-19,68.39302062988281
2020-05-20,70.12274169921875
2020-05-21,70.00282287597656
2020-05-22,70.32577514648438
2020-05-26,70.73033905029297
2020-05-27,70.67610168457031
2020-05-28,70.5745849609375
2020-05-29,71.33494567871094
2020-06-01,71.40213012695312
2020-06-02,71.77235412597656
2020-06-03,71.62008666992188
2020-06-04,70.3785171508789
2020-06-05,71.65839385986328
2020-06-08,72.0574951171875
2020-06-09,72.25852966308594
2020-06-10,72.88653564453125
2020-06-11,69.761474609375
2020-06-12,70.30985260009766
2020-06-15,70.69898986816406
2020-06-16,71.9793701171875
2020-06-17,72.28142547607422
2020-06-18,71.36481475830078
2020-06-19,70.89306640625
2020-06-22,72.18787384033203
2020-06-23,72.85070037841797
2020-06-24,71.29414367675781
2020-06-25,71.71214294433594
2020-06-26,67.8028335571289
2020-06-29,69.5261001586914
2020-06-30,70.56513214111328
2020-07-01,71.75694274902344
2020-07-02,73.14678955078125
2020-07-06,74.62571716308594
2020-07-07,74.14153289794922
2020-07-08,74.82227325439453
2020-07-09,75.57169342041016
2020-07-10,76.5843505859375
2020-07-13,75.2517318725586
2020-07-14,75.68116760253906
2020-07-15,75.48311614990234
2020-07-16,75.38558959960938
2020-07-17,75.48162841796875
2020-07-20,77.81995391845703
2020-07-21,77.42583465576172
2020-07-22,77.87020874023438
2020-07-23,75.47664642333984
2020-07-24,75.05168914794922
2020-07-27,76.10762786865234
2020-07-28,74.82476806640625
2020-07-29,75.81304168701172
2020-07-30,76.5525131225586
2020-07-31,74.04350280761719
2020-08-03,73.78523254394531
2020-08-04,73.31448364257812
2020-08-05,73.60260772705078
2020-08-06,74.88945007324219
2020-08-07,74.5620346069336
2020-08-10,74.4848861694336
2020-08-11,73.67476654052734
2020-08-12,75.00341033935547
2020-08-13,75.47167205810547
2020-08-14,74.87354278564453
2020-08-17,75.4512710571289
2020-08-18,77.41886901855469
2020-08-19,76.86302185058594
2020-08-20,78.43749237060547
2020-08-21,78.4036636352539
2020-08-24,78.88037872314453
2020-08-25,79.91045379638672
2020-08-26,81.8153305053711
2020-08-27,81.03855895996094
2020-08-28,81.58145904541016
2020-08-31,81.08882141113281
2020-09-01,82.36023712158203
2020-09-02,85.4609146118164
2020-09-03,81.08782196044922
2020-09-04,78.68431091308594
2020-09-08,75.81752014160156
2020-09-09,76.99340057373047
2020-09-10,75.9394302368164
2020-09-11,75.42738342285156
2020-09-14,75.08252716064453
2020-09-15,76.39077758789062
2020-09-16,75.24475860595703
2020-09-17,73.99821472167969
2020-09-18,72.20926666259766
2020-09-21,71.16676330566406
2020-09-22,72.64368438720703
2020-09-23,70.13419342041016
2020-09-24,70.80448150634766
2020-09-25,71.61064147949219
2020-09-28,72.58596801757812
2020-09-29,72.95222473144531
2020-09-30,72.93132019042969
2020-10-01,74.04100799560547
2020-10-02,72.43370056152344
2020-10-05,73.7887191772461
2020-10-06,72.20579528808594
2020-10-07,72.60985565185547
2020-10-08,73.8185806274414
2020-10-09,75.16314697265625
2020-10-12,77.85726928710938
2020-10-13,77.98067474365234
2020-10-14,77.80004119873047
2020-10-15,77.40343475341797
2020-10-16,78.01203155517578
2020-10-19,76.13350677490234
2020-10-20,77.18498229980469
2020-10-21,78.92218017578125
2020-10-22,79.95075988769531
2020-10-23,81.260498046875
2020-10-26,78.83757781982422
2020-10-27,79.56361389160156
2020-10-28,75.1805648803711
2020-10-29,77.4736099243164
2020-10-30,80.42100524902344
2020-11-02,80.82955932617188
2020-11-03,81.8914794921875
2020-11-04,86.87714385986328
2020-11-05,87.70568084716797
2020-11-06,87.5678482055664
2020-11-09,87.65193176269531
2020-11-10,86.47258758544922
2020-11-11,86.9458236694336
2020-11-12,86.72636413574219
2020-11-13,88.19136047363281
2020-11-16,88.2794418334961
2020-11-17,87.66388702392578
2020-11-18,86.61788177490234
2020-11-19,87.51012420654297
2020-11-20,86.40589904785156
2020-11-23,85.96699523925781
2020-11-24,87.77535247802734
2020-11-25,87.78678894042969
2020-11-27,88.92584991455078
2020-11-30,87.3026123046875
2020-12-01,89.34086608886719
2020-12-02,90.81431579589844
2020-12-03,90.6585693359375
2020-12-04,90.75411224365234
2020-12-07,90.4192123413086
2020-12-08,90.13556671142578
2020-12-09,88.47002410888672
2020-12-10,87.96195220947266
2020-12-11,88.31775665283203
