Date,META
2020-03-20,149.0276336669922
2020-03-23,147.4052734375
2020-03-24,160.224853515625
2020-03-25,155.47723388671875
2020-03-26,162.5737762451172
2020-03-27,156.0544891357422
2020-03-30,165.17152404785156
2020-03-31,166.01756286621094
2020-04-01,158.85134887695312
2020-04-02,157.44793701171875
2020-04-03,153.4567413330078
2020-04-06,164.7734375
2020-04-07,168.03802490234375
2020-04-08,173.4624481201172
2020-04-09,174.36819458007812
2020-04-13,173.97007751464844
2020-04-14,177.334228515625
2020-04-15,176.1398468017578
2020-04-16,175.42320251464844
2020-04-17,178.39918518066406
2020-04-20,177.4038848876953
2020-04-21,169.99880981445312
2020-04-22,181.42494201660156
2020-04-23,184.26156616210938
2020-04-24,189.1783905029297
2020-04-27,186.62045288085938
2020-04-28,182.05198669433594
2020-04-29,193.27906799316406
2020-04-30,203.74972534179688
2020-05-01,201.3211669921875
2020-05-04,204.29713439941406
2020-05-05,206.09866333007812
2020-05-06,207.49208068847656
2020-05-07,210.2689971923828
2020-05-08,211.35389709472656
2020-05-11,212.1799774169922
2020-05-12,209.11444091796875
2020-05-13,204.13790893554688
2020-05-14,205.83987426757812
2020-05-15,209.8907928466797
2020-05-18,212.18995666503906
2020-05-19,215.8626251220703
2020-05-20,228.89125061035156
2020-05-21,230.3045654296875
2020-05-22,233.8080596923828
2020-05-26,231.1107635498047
2020-05-27,228.0651397705078
2020-05-28,224.40240478515625
2020-05-29,224.0341339111328
2020-06-01,230.82212829589844
2020-06-02,231.6283416748047
2020-06-03,229.0803680419922
2020-06-04,225.22848510742188
2020-06-05,229.68748474121094
2020-06-08,230.3145294189453
2020-06-09,237.55039978027344
2020-06-10,235.61952209472656
2020-06-11,223.377197265625
2020-06-12,227.5077362060547
2020-06-15,231.40936279296875
2020-06-16,234.54458618164062
2020-06-17,234.42515563964844
2020-06-18,234.833251953125
2020-06-19,237.66986083984375
2020-06-22,238.09783935546875
2020-06-23,241.1036834716797
2020-06-24,232.9222412109375
2020-06-25,234.57443237304688
2020-06-26,215.06639099121094
2020-06-29,219.60499572753906
2020-06-30,226.0048370361328
2020-07-01,236.43568420410156
2020-07-02,232.32504272460938
2020-07-06,239.15286254882812
2020-07-07,239.7301483154297
2020-07-08,242.43739318847656
2020-07-09,243.35305786132812
2020-07-10,243.92039489746094
2020-07-13,237.87887573242188
2020-07-14,238.60545349121094
2020-07-15,239.15286254882812
2020-07-16,239.79981994628906
2020-07-17,240.8946533203125
2020-07-20,244.2687530517578
2020-07-21,240.61598205566406
2020-07-22,238.74481201171875
2020-07-23,231.50889587402344
2020-07-24,229.62779235839844
2020-07-27,232.40467834472656
2020-07-28,229.04052734375
2020-07-29,232.1956787109375
2020-07-30,233.39999389648438
2020-07-31,252.4800567626953
2020-08-03,250.778076171875
2020-08-04,248.6580810546875
2020-08-05,247.95138549804688
2020-08-06,264.03558349609375
2020-08-07,267.18072509765625
2020-08-10,261.7662658691406
2020-08-11,254.92852783203125
2020-08-12,258.6708984375
2020-08-13,260.0742492675781
2020-08-14,260.0145568847656
2020-08-17,259.9349365234375
2020-08-18,261.1094055175781
2020-08-19,261.3581848144531
2020-08-20,267.74810791015625
2020-08-21,265.7574768066406
2020-08-24,270.1169738769531
2020-08-25,279.5027160644531
2020-08-26,302.4844055175781
2020-08-27,291.8445739746094
2020-08-28,292.2824401855469
2020-08-31,291.8246154785156
2020-09-01,294.05413818359375
2020-09-02,301.08099365234375
2020-09-03,289.7543640136719
2020-09-04,281.40374755859375
2020-09-08,269.88800048828125
2020-09-09,272.4360046386719
2020-09-10,266.83245849609375
2020-09-11,265.359375
2020-09-14,264.9015197753906
2020-09-15,271.14208984375
2020-09-16,262.2838134765625
2020-09-17,253.62466430664062
2020-09-18,251.34539794921875
2020-09-21,246.98594665527344
2020-09-22,253.55499267578125
2020-09-23,247.8518829345703
2020-09-24,248.35946655273438
2020-09-25,253.62466430664062
2020-09-28,255.6152801513672
2020-09-29,260.5619812011719
2020-09-30,260.6714172363281
2020-10-01,265.3792419433594
2020-10-02,258.7206115722656
2020-10-05,263.4085693359375
2020-10-06,257.4466857910156
2020-10-07,256.9091796875
2020-10-08,262.522705078125
2020-10-09,263.2095031738281
2020-10-12,274.4564514160156
2020-10-13,274.84466552734375
2020-10-14,270.544921875
2020-10-15,265.46881103515625
2020-10-16,264.68255615234375
2020-10-19,260.1737976074219
2020-10-20,266.3049011230469
2020-10-21,277.42254638671875
2020-10-22,276.81536865234375
2020-10-23,283.4541015625
2020-10-26,275.8100891113281
2020-10-27,281.96112060546875
2020-10-28,266.4143981933594
2020-10-29,279.51263427734375
2020-10-30,261.875732421875
2020-11-02,260.1339416503906
2020-11-03,264.05548095703125
2020-11-04,286.03192138671875
2020-11-05,293.2976379394531
2020-11-06,292.03363037109375
2020-11-09,277.4622802734375
2020-11-10,271.1520690917969
2020-11-11,275.1830749511719
2020-11-12,273.78961181640625
2020-11-13,275.6508483886719
2020-11-16,277.65142822265625
2020-11-17,273.71002197265625
2020-11-18,270.6942138671875
2020-11-19,271.65966796875
2020-11-20,268.4349060058594
2020-11-23,267.17083740234375
2020-11-24,275.6209716796875
2020-11-25,274.2972106933594
2020-11-27,276.50677490234375
2020-11-30,275.6707458496094
2020-12-01,285.205810546875
2020-12-02,286.1712341308594
2020-12-03,280.5278625488281
2020-12-04,278.3879699707031
2020-12-07,284.2403869628906
2020-12-08,282.070556640625
2020-12-09,276.6163024902344
2020-12-10,275.8200378417969
2020-12-11,272.2668151855469
2020-12-14,272.90380859375
