date,tic,close,high,low,open,volume,SMA_50,SMA_200,RSI_14,ROC_10,MACD,MACD_Signal,Federal Funds Rate,10Y Treasury Yield,CPI,Core CPI,PCE Price Index,Retail Sales,Unemployment Rate,Non-Farm Payrolls,M2 Money Stock,Fiscal Year,Period,Report Type,Release Date,Operating Income,Net Income,EPS Diluted,Total Assets,Shareholders Equity,sentiment_score_sentiment_1,sentiment_score_sentiment_2,importance_sentiment_2,transformer_prediction,transformer_confidence,transformer_signal
2020-01-02,AAPL,72.716064453125,72.77659055848162,71.4668047519516,71.72101143907315,135480400,64.43137199401855,52.95637559890747,74.31058410165357,6.024181978353214,0.0634454363092054,0.012689087261841,0.05,0.66,256.032,265.746,103.817,401028.0,14.8,130424.0,17005.8,,,,,,,,,,0.0,0.0,0.5,0.4723471397657631,0.5995269021199601,-1
2020-01-03,AAPL,72.00911712646484,72.77174458511139,71.7839617851537,71.94132818321717,146322800,64.71312461853027,53.091058559417725,74.31058410165357,6.024181978353214,0.1802366725512207,0.046198604319717,0.05,0.66,256.032,265.746,103.817,401028.0,14.8,130424.0,17005.8,,,,,,,,,,0.0,0.0,0.5,0.6295377076201385,0.5021788727080979,1
2020-01-06,AAPL,72.5829086303711,72.62164622763687,70.87607527260708,71.12786596061405,118387200,64.99080833435059,53.22031023025513,74.31058410165357,6.024181978353214,0.3150495047563062,0.0999687844070348,0.05,0.66,256.032,265.746,103.817,401028.0,14.8,130424.0,17005.8,,,,,,,,,,0.0,0.0,0.5,0.804605971281605,0.47748801765081583,1
2020-01-07,AAPL,72.24154663085938,72.84922374466596,72.02123070618616,72.59259363206662,108872000,65.25973358154297,53.3526939201355,74.31058410165357,6.024181978353214,0.5102555170912382,0.1820261309438755,0.05,0.66,256.032,265.746,103.817,401028.0,14.8,130424.0,17005.8,,,,,,,,,,0.0,0.0,0.5,0.4531693250553328,0.3402168474225136,-1
2020-01-08,AAPL,73.40363311767578,73.70626361557562,71.94374389134458,71.94374389134458,132079200,65.53741798400878,53.49365478515625,74.31058410165357,6.024181978353214,0.7801225436754748,0.3016454134901954,0.05,0.66,256.032,265.746,103.817,401028.0,14.8,130424.0,17005.8,,,,,,,,,,0.0,0.0,0.5,0.4531726086101639,0.8374315048488009,-1
2020-01-09,AAPL,74.96279907226562,75.15647966923257,74.13238261481911,74.3841659131879,170108400,65.83436149597168,53.64474702835083,74.31058410165357,6.024181978353214,0.9252305435508958,0.4263624395023355,0.05,0.66,256.032,265.746,103.817,401028.0,14.8,130424.0,17005.8,,,,,,,,,,0.8717598915100098,0.0,0.5,0.8158425631014783,0.7150911516750305,1
2020-01-10,AAPL,75.13227844238281,75.69880941545972,74.6287043855216,75.19765137920673,140644800,66.16250152587891,53.79467447280884,74.31058410165357,6.024181978353214,1.0114104357771687,0.5433720387573022,0.05,0.66,256.032,265.746,103.817,401028.0,14.8,130424.0,17005.8,,,,,,,,,,0.0,0.0,0.5,0.6534869458305818,0.37297089409178963,1
2020-01-13,AAPL,76.73743438720703,76.764069722162,75.33080794077236,75.44944416084779,121532000,66.52288955688476,53.95232830047608,74.31058410165357,6.024181978353214,1.3158143793256656,0.6978605068709749,0.05,0.66,256.032,265.746,103.817,401028.0,14.8,130424.0,17005.8,,,,,,,,,,0.7546220421791077,0.0,0.5,0.4061051228130096,0.3390275746422844,-1
2020-01-14,AAPL,75.70121002197266,76.88510420958616,75.57774178905865,76.6744745414686,161954400,66.83600112915039,54.10332777023316,74.31058410165357,6.024181978353214,1.6087673396331006,0.8800418734234001,0.05,0.66,256.032,265.746,103.817,401028.0,14.8,130424.0,17005.8,,,,,,,,,,0.0,0.0,0.5,0.6085120087171929,0.8849235200587459,1
2020-01-15,AAPL,75.37678527832031,76.3839404992497,74.9434163205122,75.50026089033786,121923600,67.10854133605957,54.251160068511965,74.31058410165357,6.024181978353214,1.716677136208833,1.0473689259804868,0.05,0.66,256.032,265.746,103.817,401028.0,14.8,130424.0,17005.8,,,,,,,,,,-0.875372052192688,0.0,0.5,0.40731646143750755,0.7087035302637029,-1
