Date,NVDA
2020-03-20,5.124868392944336
2020-03-23,5.297730922698975
2020-03-24,6.2066330909729
2020-03-25,6.117959499359131
2020-03-26,6.407393932342529
2020-03-27,6.295057773590088
2020-03-30,6.615377426147461
2020-03-31,6.565810203552246
2020-04-01,6.054444313049316
2020-04-02,6.36330509185791
2020-04-03,6.075366973876953
2020-04-06,6.68536901473999
2020-04-07,6.451979160308838
2020-04-08,6.649251937866211
2020-04-09,6.549619197845459
2020-04-13,6.721486568450928
2020-04-14,7.072691917419434
2020-04-15,6.995227336883545
2020-04-16,7.340455532073975
2020-04-17,7.281174659729004
2020-04-20,7.14990758895874
2020-04-21,6.713016510009766
2020-04-22,7.1274895668029785
2020-04-23,7.074186325073242
2020-04-24,7.213174819946289
2020-04-27,7.399736404418945
2020-04-28,7.257261753082275
2020-04-29,7.434110641479492
2020-04-30,7.280177116394043
2020-05-01,7.043548107147217
2020-05-04,7.255519390106201
2020-05-05,7.316545009613037
2020-05-06,7.417421340942383
2020-05-07,7.5937724113464355
2020-05-08,7.783822059631348
2020-05-11,8.035893440246582
2020-05-12,7.773858547210693
2020-05-13,7.751441478729248
2020-05-14,8.001022338867188
2020-05-15,8.459582328796387
2020-05-18,8.71812915802002
2020-05-19,8.773177146911621
2020-05-20,8.937071800231934
2020-05-21,8.743040084838867
2020-05-22,8.993117332458496
2020-05-26,8.685748100280762
2020-05-27,8.493955612182617
2020-05-28,8.455845832824707
2020-05-29,8.84291934967041
2020-06-01,8.773921966552734
2020-06-02,8.792852401733398
2020-06-03,8.737310409545898
2020-06-04,8.738306045532227
2020-06-05,8.891312599182129
2020-06-08,8.77668285369873
2020-06-09,9.016907691955566
2020-06-10,9.336626052856445
2020-06-11,8.767961502075195
2020-06-12,8.903773307800293
2020-06-15,9.144245147705078
2020-06-16,9.03933334350586
2020-06-17,9.20629596710205
2020-06-18,9.188353538513184
2020-06-19,9.231464385986328
2020-06-22,9.496110916137695
2020-06-23,9.419608116149902
2020-06-24,9.205799102783203
2020-06-25,9.459479331970215
2020-06-26,9.125557899475098
2020-06-29,9.170413970947266
2020-06-30,9.467204093933105
2020-07-01,9.499350547790527
2020-07-02,9.581335067749023
2020-07-06,9.807607650756836
2020-07-07,9.840001106262207
2020-07-08,10.183143615722656
2020-07-09,10.475202560424805
2020-07-10,10.445545196533203
2020-07-13,10.019922256469727
2020-07-14,10.343626976013184
2020-07-15,10.194358825683594
2020-07-16,10.102155685424805
2020-07-17,10.168691635131836
2020-07-20,10.476947784423828
2020-07-21,10.295282363891602
2020-07-22,10.405179977416992
2020-07-23,10.097172737121582
2020-07-24,10.161712646484375
2020-07-27,10.387983322143555
2020-07-28,10.182645797729492
2020-07-29,10.431840896606445
2020-07-30,10.579866409301758
2020-07-31,10.58061408996582
2020-08-03,10.97484016418457
2020-08-04,11.19163990020752
2020-08-05,11.25045108795166
2020-08-06,11.29904556274414
2020-08-07,11.163479804992676
2020-08-10,11.1290922164917
2020-08-11,10.815107345581055
2020-08-12,11.403458595275879
2020-08-13,11.406196594238281
2020-08-14,11.526809692382812
2020-08-17,12.297320365905762
2020-08-18,12.221319198608398
2020-08-19,12.09946346282959
2020-08-20,12.101953506469727
2020-08-21,12.642708778381348
2020-08-24,12.679342269897461
2020-08-25,12.708993911743164
2020-08-26,12.73192024230957
2020-08-27,12.58763599395752
2020-08-28,13.105463981628418
2020-08-31,13.3314847946167
2020-09-01,13.780673027038574
2020-09-02,14.30463981628418
2020-09-03,12.977522850036621
2020-09-04,12.585670471191406
2020-09-08,11.878242492675781
2020-09-09,12.677899360656738
2020-09-10,12.275826454162598
2020-09-11,12.12900447845459
2020-09-14,12.834688186645508
2020-09-15,12.953095436096191
2020-09-16,12.477984428405762
2020-09-17,12.427132606506348
2020-09-18,12.153685569763184
2020-09-21,12.480727195739746
2020-09-22,12.600872993469238
2020-09-23,12.088375091552734
2020-09-24,12.311968803405762
2020-09-25,12.836185455322266
2020-09-28,12.996964454650879
2020-09-29,13.187159538269043
2020-09-30,13.491020202636719
2020-10-01,13.574775695800781
2020-10-02,13.024137496948242
2020-10-05,13.602692604064941
2020-10-06,13.696417808532715
2020-10-07,13.923255920410156
2020-10-08,13.798370361328125
2020-10-09,13.722590446472168
2020-10-12,14.184491157531738
2020-10-13,14.206676483154297
2020-10-14,14.054121017456055
2020-10-15,13.92923641204834
2020-10-16,13.771201133728027
2020-10-19,13.458366394042969
2020-10-20,13.605684280395508
2020-10-21,13.485286712646484
2020-10-22,13.322013854980469
2020-10-23,13.5505952835083
2020-10-26,13.102906227111816
2020-10-27,13.357660293579102
2020-10-28,12.590156555175781
2020-10-29,12.985998153686523
2020-10-30,12.497426986694336
2020-11-02,12.54404067993164
2020-11-03,12.981511116027832
2020-11-04,13.754000663757324
2020-11-05,14.118681907653809
2020-11-06,14.519508361816406
2020-11-09,13.590977668762207
2020-11-10,12.732738494873047
2020-11-11,13.378849029541016
2020-11-12,13.417484283447266
2020-11-13,13.258199691772461
2020-11-16,13.475813865661621
2020-11-17,13.383086204528809
2020-11-18,13.389567375183105
2020-11-19,13.40103530883789
2020-11-20,13.049561500549316
2020-11-23,13.10166072845459
2020-11-24,12.919940948486328
2020-11-25,13.19612979888916
2020-11-27,13.222555160522461
2020-11-30,13.362394332885742
2020-12-01,13.350932121276855
2020-12-02,13.50498104095459
2020-12-03,13.360857963562012
2020-12-04,13.522682189941406
2020-12-07,13.571053504943848
2020-12-08,13.314981460571289
2020-12-09,12.896827697753906
2020-12-10,12.93821907043457
2020-12-11,12.979110717773438
