Date,MSFT
2020-03-20,131.46849060058594
2020-03-23,130.1571502685547
2020-03-24,141.98789978027344
2020-03-25,140.62867736816406
2020-03-26,149.42515563964844
2020-03-27,143.28964233398438
2020-03-30,153.36871337890625
2020-03-31,150.95668029785156
2020-04-01,145.59646606445312
2020-04-02,148.611572265625
2020-04-03,147.2427978515625
2020-04-06,158.1929168701172
2020-04-07,156.48915100097656
2020-04-08,158.05889892578125
2020-04-09,158.06849670410156
2020-04-13,158.42266845703125
2020-04-14,166.2619171142578
2020-04-15,164.5198516845703
2020-04-16,169.4589080810547
2020-04-17,170.95211791992188
2020-04-20,167.56370544433594
2020-04-21,160.63372802734375
2020-04-22,166.0896759033203
2020-04-23,164.07957458496094
2020-04-24,167.0755615234375
2020-04-27,166.5969696044922
2020-04-28,162.53857421875
2020-04-29,169.8321990966797
2020-04-30,171.5360107421875
2020-05-01,167.0946807861328
2020-05-04,171.1818389892578
2020-05-05,173.0196075439453
2020-05-06,174.72340393066406
2020-05-07,175.738037109375
2020-05-08,176.77175903320312
2020-05-11,178.74354553222656
2020-05-12,174.69467163085938
2020-05-13,172.05287170410156
2020-05-14,172.7994842529297
2020-05-15,175.31683349609375
2020-05-18,176.99191284179688
2020-05-19,175.7667236328125
2020-05-20,178.20474243164062
2020-05-21,176.0642547607422
2020-05-22,176.14105224609375
2020-05-26,174.2790069580078
2020-05-27,174.50936889648438
2020-05-28,174.1157989501953
2020-05-29,175.89151000976562
2020-06-01,175.48834228515625
2020-06-02,177.48484802246094
2020-06-03,177.91677856445312
2020-06-04,175.5747833251953
2020-06-05,179.6829071044922
2020-06-08,180.7963409423828
2020-06-09,182.17849731445312
2020-06-10,188.93577575683594
2020-06-11,178.79025268554688
2020-06-12,180.2012176513672
2020-06-15,181.35302734375
2020-06-16,185.79710388183594
2020-06-17,186.44024658203125
2020-06-18,188.4366912841797
2020-06-19,187.31365966796875
2020-06-22,192.51602172851562
2020-06-23,193.80223083496094
2020-06-24,189.89564514160156
2020-06-25,192.2952423095703
2020-06-26,188.44631958007812
2020-06-29,190.47154235839844
2020-06-30,195.33795166015625
2020-07-01,196.4801483154297
2020-07-02,197.97755432128906
2020-07-06,202.23922729492188
2020-07-07,199.88763427734375
2020-07-08,204.28369140625
2020-07-09,205.71388244628906
2020-07-10,205.0899658203125
2020-07-13,198.75503540039062
2020-07-14,199.98361206054688
2020-07-15,199.68606567382812
2020-07-16,195.73147583007812
2020-07-17,194.73324584960938
2020-07-20,203.10311889648438
2020-07-21,200.36756896972656
2020-07-22,203.24708557128906
2020-07-23,194.40689086914062
2020-07-24,193.21670532226562
2020-07-27,195.66432189941406
2020-07-28,193.90782165527344
2020-07-29,195.8658905029297
2020-07-30,195.71231079101562
2020-07-31,196.77774047851562
2020-08-03,207.84474182128906
2020-08-04,204.72523498535156
2020-08-05,204.38931274414062
2020-08-06,207.66233825683594
2020-08-07,203.94776916503906
2020-08-10,199.88763427734375
2020-08-11,195.2131805419922
2020-08-12,200.7898712158203
2020-08-13,200.31951904296875
2020-08-14,200.51150512695312
2020-08-17,201.83612060546875
2020-08-18,202.99754333496094
2020-08-19,201.76593017578125
2020-08-20,206.46128845214844
2020-08-21,204.96034240722656
2020-08-24,205.60494995117188
2020-08-25,208.27980041503906
2020-08-26,212.78274536132812
2020-08-27,218.00729370117188
2020-08-28,220.24913024902344
2020-08-31,216.99700927734375
2020-09-01,218.67120361328125
2020-09-02,222.88548278808594
2020-09-03,209.07838439941406
2020-09-04,206.14381408691406
2020-09-08,194.9923095703125
2020-09-09,203.29579162597656
2020-09-10,197.5998077392578
2020-09-11,196.31048583984375
2020-09-14,197.6382598876953
2020-09-15,200.88075256347656
2020-09-16,197.29190063476562
2020-09-17,195.2328338623047
2020-09-18,192.80819702148438
2020-09-21,194.87684631347656
2020-09-22,199.5722198486328
2020-09-23,193.0006103515625
2020-09-24,195.50228881835938
2020-09-25,199.95709228515625
2020-09-28,201.5157928466797
2020-09-29,199.41827392578125
2020-09-30,202.37213134765625
2020-10-01,204.42149353027344
2020-10-02,198.3887481689453
2020-10-05,202.4202117919922
2020-10-06,198.119384765625
2020-10-07,201.89102172851562
2020-10-08,202.61268615722656
2020-10-09,207.64480590820312
2020-10-12,213.02325439453125
2020-10-13,214.4280242919922
2020-10-14,212.50367736816406
2020-10-15,211.34915161132812
2020-10-16,211.34915161132812
2020-10-19,206.1149139404297
2020-10-20,206.52867126464844
2020-10-21,206.6729736328125
2020-10-22,206.7595977783203
2020-10-23,208.04891967773438
2020-10-26,202.131591796875
2020-10-27,205.181640625
2020-10-28,195.01156616210938
2020-10-29,196.974365234375
2020-10-30,194.8094940185547
2020-11-02,194.6748046875
2020-11-03,198.61964416503906
2020-11-04,208.20281982421875
2020-11-05,214.8417510986328
2020-11-06,215.25552368164062
2020-11-09,210.1271514892578
2020-11-10,203.02639770507812
2020-11-11,208.35679626464844
2020-11-12,207.28880310058594
2020-11-13,208.3182830810547
2020-11-16,209.01104736328125
2020-11-17,206.34584045410156
2020-11-18,203.6254425048828
2020-11-19,204.9180908203125
2020-11-20,202.95982360839844
2020-11-23,202.68972778320312
2020-11-24,206.30726623535156
2020-11-25,206.31689453125
2020-11-27,207.62889099121094
2020-11-30,206.50985717773438
2020-12-01,208.57427978515625
2020-12-02,207.76394653320312
2020-12-03,206.67384338378906
2020-12-04,206.7895965576172
2020-12-07,206.7220916748047
2020-12-08,208.38136291503906
2020-12-09,204.32003784179688
2020-12-10,203.08523559570312
2020-12-11,205.7284698486328
